id,resource_type,locator,translatable_string
66686ce7-31ad-4475-b16e-84e8b332e4df,ACTION_STEP_OUTPUT_GENERIC_VALUES_TEXT,"workspace.actions[action=""anything_else""].steps[step=""step_001""].output.generic[0].values[0].text","""Acho que não entendi. Reformule sua pergunta."""
477f55d3-cfe0-4df8-9284-a1d81bb48b0b,ACTION_STEP_OUTPUT_GENERIC_VALUES_TEXT,"workspace.actions[action=""anything_else""].steps[step=""step_002""].output.generic[0].values[0].text",""""""
978251d2-dc11-4122-84f8-adce27664850,ACTION_TITLE,"workspace.actions[action=""anything_else""].title","""No action matches"""
a1302e3a-5f80-4fbf-a0ac-769e65536eb4,ACTION_STEP_OUTPUT_GENERIC_VALUES_TEXT,"workspace.actions[action=""fallback""].steps[step=""digression_failure""].output.generic[0].values[0].text","""Desculpe, não pude confirmar se você queria retornar ao tópico anterior, deixe-me conectar a um agente."""
1808eb35-5489-4ee3-92f2-c742beb56f95,ACTION_STEP_RESOLVER_CONNECT_TO_AGENT_AVAILABLE_MSG,"workspace.actions[action=""fallback""].steps[step=""digression_failure""].resolver[type=""connect_to_agent""].response.agent_available.message","""Vamos mandá-lo para um agente disponível."""
36eaae68-4276-41de-9927-caf4c07c71a2,ACTION_STEP_RESOLVER_CONNECT_TO_AGENT_UNAVAILABLE_MSG,"workspace.actions[action=""fallback""].steps[step=""digression_failure""].resolver[type=""connect_to_agent""].response.agent_unavailable.message","""Não há agentes disponíveis neste momento. Quando houver um disponível, conectaremos você."""
5d00d0a2-c11e-4f5b-8d0a-4a8fbda1bddc,ACTION_STEP_RESOLVER_CONNECT_TO_AGENT_HUMAN_AGENT_MSG,"workspace.actions[action=""fallback""].steps[step=""digression_failure""].resolver[type=""connect_to_agent""].response.message_to_human_agent",""""""
195958e9-8777-4482-a504-739fdaf17927,ACTION_STEP_CONDITION_SCALAR,"workspace.actions[action=""fallback""].steps[step=""digression_failure""].condition.eq[1].scalar","""Failed to confirm topic return"""
55243597-3823-4ad1-b667-25ee6004da6b,ACTION_STEP_OUTPUT_GENERIC_VALUES_TEXT,"workspace.actions[action=""fallback""].steps[step=""step_001""].output.generic[0].values[0].text","""Acho que não entendi. Eu posso conectar você a um agente."""
b964300b-e2fc-415a-accd-99fc156b870c,ACTION_STEP_RESOLVER_CONNECT_TO_AGENT_AVAILABLE_MSG,"workspace.actions[action=""fallback""].steps[step=""step_001""].resolver[type=""connect_to_agent""].response.agent_available.message","""Vamos mandá-lo para um agente disponível."""
cb48fc39-5bfe-46ca-a4e4-56061aaa2420,ACTION_STEP_RESOLVER_CONNECT_TO_AGENT_UNAVAILABLE_MSG,"workspace.actions[action=""fallback""].steps[step=""step_001""].resolver[type=""connect_to_agent""].response.agent_unavailable.message","""Não há agentes disponíveis neste momento. Quando houver um disponível, conectaremos você."""
342ecb7b-e8c6-4cb0-8c0a-0d14514307df,ACTION_STEP_RESOLVER_CONNECT_TO_AGENT_HUMAN_AGENT_MSG,"workspace.actions[action=""fallback""].steps[step=""step_001""].resolver[type=""connect_to_agent""].response.message_to_human_agent",""""""
99a2ea03-a2d8-4519-bf92-4a084341240b,ACTION_STEP_CONDITION_SCALAR,"workspace.actions[action=""fallback""].steps[step=""step_001""].condition.eq[1].scalar","""Step validation failed"""
de5374c0-3a2f-469e-bbc0-b8fbfcc28c43,ACTION_STEP_OUTPUT_GENERIC_VALUES_TEXT,"workspace.actions[action=""fallback""].steps[step=""step_002""].output.generic[0].values[0].text","""Desculpe não poder ajudá-lo. Vou conectá-lo a um agente imediatamente."""
1fd67bb3-6472-4e63-8a9e-8b665b197ee6,ACTION_STEP_RESOLVER_CONNECT_TO_AGENT_AVAILABLE_MSG,"workspace.actions[action=""fallback""].steps[step=""step_002""].resolver[type=""connect_to_agent""].response.agent_available.message","""Vamos mandá-lo para um agente disponível."""
8f29ffab-6112-4a97-986a-80e4eae432bb,ACTION_STEP_RESOLVER_CONNECT_TO_AGENT_UNAVAILABLE_MSG,"workspace.actions[action=""fallback""].steps[step=""step_002""].resolver[type=""connect_to_agent""].response.agent_unavailable.message","""Não há agentes disponíveis neste momento. Quando houver um disponível, conectaremos você."""
3e15900d-7610-48ba-bb6a-ad3acec7e1a0,ACTION_STEP_RESOLVER_CONNECT_TO_AGENT_HUMAN_AGENT_MSG,"workspace.actions[action=""fallback""].steps[step=""step_002""].resolver[type=""connect_to_agent""].response.message_to_human_agent",""""""
1e8454f3-9a8f-421e-8b63-eee300cc1c00,ACTION_STEP_CONDITION_SCALAR,"workspace.actions[action=""fallback""].steps[step=""step_002""].condition.eq[1].scalar","""Agent requested"""
a1547ec0-d92b-45b2-97c9-ecfd6f58167f,ACTION_STEP_OUTPUT_GENERIC_VALUES_TEXT,"workspace.actions[action=""fallback""].steps[step=""step_003""].output.generic[0].values[0].text","""Acho que não entendi o que você está pedindo; vou conectá-lo a um agente."""
eb97b3f4-bde6-4bb6-8f62-18933562f19e,ACTION_STEP_RESOLVER_CONNECT_TO_AGENT_AVAILABLE_MSG,"workspace.actions[action=""fallback""].steps[step=""step_003""].resolver[type=""connect_to_agent""].response.agent_available.message","""Vamos mandá-lo para um agente disponível."""
e8150f4b-55f3-4f8f-9877-ba5c5c2e0603,ACTION_STEP_RESOLVER_CONNECT_TO_AGENT_UNAVAILABLE_MSG,"workspace.actions[action=""fallback""].steps[step=""step_003""].resolver[type=""connect_to_agent""].response.agent_unavailable.message","""Não há agentes disponíveis neste momento. Quando houver um disponível, conectaremos você."""
99f22aee-92ba-4b45-ab28-8e7123a9c52c,ACTION_STEP_RESOLVER_CONNECT_TO_AGENT_HUMAN_AGENT_MSG,"workspace.actions[action=""fallback""].steps[step=""step_003""].resolver[type=""connect_to_agent""].response.message_to_human_agent",""""""
7e4dc729-654d-413e-ac4b-4c5894d65b87,ACTION_STEP_CONDITION_SCALAR,"workspace.actions[action=""fallback""].steps[step=""step_003""].condition.eq[1].scalar","""No action matches"""
4402c50e-9f1f-414d-98ff-17cf39a3dc04,ACTION_STEP_OUTPUT_GENERIC_VALUES_TEXT,"workspace.actions[action=""fallback""].steps[step=""step_004""].output.generic[0].values[0].text","""Parece que esta conversa seria melhor gerenciada por um agente humano. Deixe-me conectá-lo a um de nossos agentes."""
fa9ad5b1-3083-4ec4-8f6e-caa26ea8a122,ACTION_STEP_RESOLVER_CONNECT_TO_AGENT_AVAILABLE_MSG,"workspace.actions[action=""fallback""].steps[step=""step_004""].resolver[type=""connect_to_agent""].response.agent_available.message","""Vamos mandá-lo para um agente disponível."""
e3687758-a2de-479e-a376-6a870d3243bb,ACTION_STEP_RESOLVER_CONNECT_TO_AGENT_UNAVAILABLE_MSG,"workspace.actions[action=""fallback""].steps[step=""step_004""].resolver[type=""connect_to_agent""].response.agent_unavailable.message","""Não há agentes disponíveis neste momento. Quando houver um disponível, conectaremos você."""
6804acfd-ec5d-47ce-ae4e-495c5da254d6,ACTION_STEP_RESOLVER_CONNECT_TO_AGENT_HUMAN_AGENT_MSG,"workspace.actions[action=""fallback""].steps[step=""step_004""].resolver[type=""connect_to_agent""].response.message_to_human_agent",""""""
687c7728-cb59-4b93-bcdc-a6df53a98aa2,ACTION_STEP_CONDITION_SCALAR,"workspace.actions[action=""fallback""].steps[step=""step_004""].condition.eq[1].scalar","""Danger word detected"""
23fa7fbf-3336-47aa-b76f-82db4097bd99,ACTION_STEP_OUTPUT_GENERIC_VALUES_TEXT,"workspace.actions[action=""fallback""].steps[step=""step_005""].output.generic[0].values[0].text","""Parece que esta conversa seria melhor gerenciada por um agente humano. Deixe-me conectá-lo a um de nossos agentes."""
d0b07bec-7445-42bf-b751-2a59506c97c6,ACTION_STEP_RESOLVER_CONNECT_TO_AGENT_AVAILABLE_MSG,"workspace.actions[action=""fallback""].steps[step=""step_005""].resolver[type=""connect_to_agent""].response.agent_available.message","""Vamos mandá-lo para um agente disponível."""
df2f89f5-a6ec-4474-8748-53cb74634dd5,ACTION_STEP_RESOLVER_CONNECT_TO_AGENT_UNAVAILABLE_MSG,"workspace.actions[action=""fallback""].steps[step=""step_005""].resolver[type=""connect_to_agent""].response.agent_unavailable.message","""Não há agentes disponíveis neste momento. Quando houver um disponível, conectaremos você."""
b1a5e09e-e1c9-4f66-9fc4-fe2d09e68f08,ACTION_STEP_RESOLVER_CONNECT_TO_AGENT_HUMAN_AGENT_MSG,"workspace.actions[action=""fallback""].steps[step=""step_005""].resolver[type=""connect_to_agent""].response.message_to_human_agent",""""""
a1c0b475-ab41-4a53-b35d-c3d71684b620,ACTION_STEP_CONDITION_SCALAR,"workspace.actions[action=""fallback""].steps[step=""step_005""].condition.eq[1].scalar","""Profanity detected"""
bed4631d-412f-4a9a-816d-b05aeefd4570,ACTION_TITLE,"workspace.actions[action=""fallback""].title","""Fallback"""
9ae883c2-aba9-4308-bb40-98d8aa08d561,ACTION_STEP_OUTPUT_GENERIC_VALUES_TEXT_EXPRESSION,"workspace.actions[action=""run_always""].steps[step=""profanity_detected""].output.generic[0].values[0].text_expression","""Use o idioma apropriado ao interagir com o assistente."""
0d46aed6-d91d-426e-8cc3-d015ae6cfc4d,ACTION_TITLE,"workspace.actions[action=""run_always""].title","""Trigger word detected"""
2fa5749e-62c9-4f9b-8d30-1e0baa97051c,ACTION_STEP_OUTPUT_GENERIC_VALUES_TEXT,"workspace.actions[action=""welcome""].steps[step=""step_001""].output.generic[0].values[0].text","""Bem-vindo, como posso ajudá-lo?"""
ca1c5ab3-8351-4565-abd4-7943e1833e7b,ACTION_TITLE,"workspace.actions[action=""welcome""].title","""Greet customer"""
027fc3de-3544-4e89-9e9d-93f0a6a5ef14,ACTION_STEP_OUTPUT_GENERIC_VALUES_TEXT_EXPRESSION,"workspace.actions[action=""action_26810""].steps[step=""step_378""].output.generic[0].values[0].text_expression","""Eu posso te ajudar, e para isso vou precisar te fazer 7 perguntas rápidas, tudo bem?"""
d2d69f84-f116-41ef-be9a-47b3696370b2,ACTION_STEP_OUTPUT_GENERIC_OPTIONS_LABEL,"workspace.actions[action=""action_26810""].steps[step=""step_378"", entity=""sys-yes-no""].output.generic[1].options[0].text","""Sim"""
71c7ef86-a69e-4ce7-969f-1d7bb0896a98,ACTION_STEP_OUTPUT_GENERIC_OPTIONS_LABEL,"workspace.actions[action=""action_26810""].steps[step=""step_378"", entity=""sys-yes-no""].output.generic[1].options[1].text","""Não"""
fb097d57-c311-4e86-8499-968c63432ed0,ACTION_STEP_HANDLER_OUTPUT_GENERIC_VALUES_TEXT_EXPRESSION,"workspace.actions[action=""action_26810""].steps[step=""step_378""].handlers[handler=""validation_not_found_handler""].output.generic[0].values[0].text_expression","""Eu não entendi, reformule sua resposta."""
ee97466f-9bf0-459a-8106-a0a64ef9e89e,ACTION_STEP_OUTPUT_GENERIC_VALUES_TEXT_EXPRESSION,"workspace.actions[action=""action_26810""].steps[step=""step_905""].output.generic[0].values[0].text_expression","""Sem problemas, pode voltar a me procurar quando quiser. Fique bem!"""
443532af-b1ec-4e49-84f0-9f0fd942e6cd,ACTION_STEP_CONDITION_SCALAR,"workspace.actions[action=""action_26810""].steps[step=""step_905""].condition.neq[1].scalar","""yes"""
5e85dace-fb35-45da-8194-d3d8e0e69059,ACTION_STEP_OUTPUT_GENERIC_VALUES_TEXT_EXPRESSION,"workspace.actions[action=""action_26810""].steps[step=""step_216""].output.generic[0].values[0].text_expression","""Você tem sentido tristeza, desânimo ou falta de esperança?"""
b972a48c-f284-4968-999d-c167989c0d4d,ACTION_STEP_OUTPUT_GENERIC_OPTIONS_LABEL,"workspace.actions[action=""action_26810""].steps[step=""step_216"", entity=""sys-yes-no""].output.generic[1].options[0].text","""Sim"""
a2a4782e-0e06-4d22-8ff6-f11e54dd9bac,ACTION_STEP_OUTPUT_GENERIC_OPTIONS_LABEL,"workspace.actions[action=""action_26810""].steps[step=""step_216"", entity=""sys-yes-no""].output.generic[1].options[1].text","""Não"""
9639f47f-5ae3-49f3-aab6-ed09ccba1917,ACTION_STEP_HANDLER_OUTPUT_GENERIC_VALUES_TEXT_EXPRESSION,"workspace.actions[action=""action_26810""].steps[step=""step_216""].handlers[handler=""validation_not_found_handler""].output.generic[0].values[0].text_expression","""Eu não entendi, reformule sua resposta."""
0bcc7efe-8155-4586-8576-a95e9beb65a7,ACTION_STEP_CONDITION_SCALAR,"workspace.actions[action=""action_26810""].steps[step=""step_216""].condition.eq[1].scalar","""yes"""
919c9365-fbb1-4210-9aed-ffc1242cdbe5,ACTION_STEP_OUTPUT_GENERIC_VALUES_TEXT_EXPRESSION,"workspace.actions[action=""action_26810""].steps[step=""step_957""].output.generic[0].values[0].text_expression","""Você tem perdido o interesse ou prazer em atividades que costumava gostar?"""
7a441f38-0297-4206-bc68-c5c52d9e87b1,ACTION_STEP_OUTPUT_GENERIC_OPTIONS_LABEL,"workspace.actions[action=""action_26810""].steps[step=""step_957"", entity=""sys-yes-no""].output.generic[1].options[0].text","""Sim"""
91117b78-6bef-434c-b514-f526dcd26326,ACTION_STEP_OUTPUT_GENERIC_OPTIONS_LABEL,"workspace.actions[action=""action_26810""].steps[step=""step_957"", entity=""sys-yes-no""].output.generic[1].options[1].text","""Não"""
852e31e4-1c44-41d0-9c13-2546eb913ad8,ACTION_STEP_HANDLER_OUTPUT_GENERIC_VALUES_TEXT_EXPRESSION,"workspace.actions[action=""action_26810""].steps[step=""step_957""].handlers[handler=""validation_not_found_handler""].output.generic[0].values[0].text_expression","""Eu não entendi, reformule sua resposta."""
ee052cbd-0088-4385-baf8-880ecab9106a,ACTION_STEP_OUTPUT_GENERIC_VALUES_TEXT_EXPRESSION,"workspace.actions[action=""action_26810""].steps[step=""step_455""].output.generic[0].values[0].text_expression","""Você tem sentido mudanças no seu apetite?"""
5f72d1bf-d135-4bda-9951-f6b58b70ede0,ACTION_STEP_OUTPUT_GENERIC_OPTIONS_LABEL,"workspace.actions[action=""action_26810""].steps[step=""step_455"", entity=""sys-yes-no""].output.generic[1].options[0].text","""Sim"""
a04880cc-b36b-45c2-8d38-71c5ebc680ae,ACTION_STEP_OUTPUT_GENERIC_OPTIONS_LABEL,"workspace.actions[action=""action_26810""].steps[step=""step_455"", entity=""sys-yes-no""].output.generic[1].options[1].text","""Não"""
42730ce6-f513-4372-9d4b-84f10d066336,ACTION_STEP_HANDLER_OUTPUT_GENERIC_VALUES_TEXT_EXPRESSION,"workspace.actions[action=""action_26810""].steps[step=""step_455""].handlers[handler=""validation_not_found_handler""].output.generic[0].values[0].text_expression","""Eu não entendi, reformule sua resposta."""
49c0e7d5-c33a-40f8-b17a-f473ce1ca7e9,ACTION_STEP_OUTPUT_GENERIC_VALUES_TEXT_EXPRESSION,"workspace.actions[action=""action_26810""].steps[step=""step_706""].output.generic[0].values[0].text_expression","""Você tem sentido mudanças no seu sono?"""
a27cc09e-21f1-483c-b30e-49fb9745a32e,ACTION_STEP_OUTPUT_GENERIC_OPTIONS_LABEL,"workspace.actions[action=""action_26810""].steps[step=""step_706"", entity=""sys-yes-no""].output.generic[1].options[0].text","""Sim"""
280f7467-ee17-4419-ad32-7e8e4a7c2650,ACTION_STEP_OUTPUT_GENERIC_OPTIONS_LABEL,"workspace.actions[action=""action_26810""].steps[step=""step_706"", entity=""sys-yes-no""].output.generic[1].options[1].text","""Não"""
e4d33417-7aad-4431-b677-c0ab597d8116,ACTION_STEP_HANDLER_OUTPUT_GENERIC_VALUES_TEXT_EXPRESSION,"workspace.actions[action=""action_26810""].steps[step=""step_706""].handlers[handler=""validation_not_found_handler""].output.generic[0].values[0].text_expression","""Eu não entendi, reformule sua resposta."""
ce6db9cf-56ae-4a54-8147-65128044c135,ACTION_STEP_OUTPUT_GENERIC_VALUES_TEXT_EXPRESSION,"workspace.actions[action=""action_26810""].steps[step=""step_612""].output.generic[0].values[0].text_expression","""Você tem sentido fadiga ou perda de energia?"""
8624a212-fc27-430c-ac13-9cea6e7aefb3,ACTION_STEP_OUTPUT_GENERIC_OPTIONS_LABEL,"workspace.actions[action=""action_26810""].steps[step=""step_612"", entity=""sys-yes-no""].output.generic[1].options[0].text","""Sim"""
1a1148a9-ff69-4033-8a8e-b1b3f1386676,ACTION_STEP_OUTPUT_GENERIC_OPTIONS_LABEL,"workspace.actions[action=""action_26810""].steps[step=""step_612"", entity=""sys-yes-no""].output.generic[1].options[1].text","""Não"""
579565cb-33b6-41ea-8dd7-5880d8b0ddc2,ACTION_STEP_HANDLER_OUTPUT_GENERIC_VALUES_TEXT_EXPRESSION,"workspace.actions[action=""action_26810""].steps[step=""step_612""].handlers[handler=""validation_not_found_handler""].output.generic[0].values[0].text_expression","""Eu não entendi, reformule sua resposta."""
bfcf3edc-1ccf-4567-8884-bb6a713d10a0,ACTION_STEP_OUTPUT_GENERIC_VALUES_TEXT_EXPRESSION,"workspace.actions[action=""action_26810""].steps[step=""step_300""].output.generic[0].values[0].text_expression","""Você tem sentido dificuldade de se concentrar ou tomar decisões?"""
5447266d-b19d-47a3-9672-c06e1d9b2f90,ACTION_STEP_OUTPUT_GENERIC_OPTIONS_LABEL,"workspace.actions[action=""action_26810""].steps[step=""step_300"", entity=""sys-yes-no""].output.generic[1].options[0].text","""Sim"""
a430c29d-9aee-472d-976d-49f833eebd46,ACTION_STEP_OUTPUT_GENERIC_OPTIONS_LABEL,"workspace.actions[action=""action_26810""].steps[step=""step_300"", entity=""sys-yes-no""].output.generic[1].options[1].text","""Não"""
2135ca12-199e-44c6-9174-4e8c3136088b,ACTION_STEP_HANDLER_OUTPUT_GENERIC_VALUES_TEXT_EXPRESSION,"workspace.actions[action=""action_26810""].steps[step=""step_300""].handlers[handler=""validation_not_found_handler""].output.generic[0].values[0].text_expression","""Eu não entendi, reformule sua resposta."""
d765d036-80b1-4feb-80c8-9349b6cffe29,ACTION_STEP_OUTPUT_GENERIC_VALUES_TEXT_EXPRESSION,"workspace.actions[action=""action_26810""].steps[step=""step_174""].output.generic[0].values[0].text_expression","""Você tem sentido sentimentos de culpa ou inutilidade?"""
f770ef24-dcb5-4192-b5a8-d7271a3d65d9,ACTION_STEP_OUTPUT_GENERIC_OPTIONS_LABEL,"workspace.actions[action=""action_26810""].steps[step=""step_174"", entity=""sys-yes-no""].output.generic[1].options[0].text","""Sim"""
731e71a2-7c8c-4d61-99bb-1e5ff2222364,ACTION_STEP_OUTPUT_GENERIC_OPTIONS_LABEL,"workspace.actions[action=""action_26810""].steps[step=""step_174"", entity=""sys-yes-no""].output.generic[1].options[1].text","""Não"""
1de2af54-9af4-4a69-8156-749a291897e1,ACTION_STEP_HANDLER_OUTPUT_GENERIC_VALUES_TEXT_EXPRESSION,"workspace.actions[action=""action_26810""].steps[step=""step_174""].handlers[handler=""validation_not_found_handler""].output.generic[0].values[0].text_expression","""Eu não entendi, reformule sua resposta."""
4c95b0d3-9d83-4055-94c7-870be5c2df5a,ACTION_STEP_OUTPUT_GENERIC_VALUES_TEXT_EXPRESSION,"workspace.actions[action=""action_26810""].steps[step=""step_429""].output.generic[0].values[0].text_expression","""Sabemos que você está passando por um momento desafiador, mas saiba que você não está só. Nos procurar já foi um grande ato de coragem, clicando [aqui](https://www.link.com.br) você pode escolher um profissional que certamente vai te ajudar. Conte com a gente!"""
6da26970-cbd7-4c20-ad7c-ab442b438407,ACTION_STEP_CONDITION_SCALAR,"workspace.actions[action=""action_26810""].steps[step=""step_429""].condition.and[0].eq[1].scalar","""yes"""
747d85a1-6b5c-4fe6-ac62-100d6d7fe2ed,ACTION_STEP_CONDITION_SCALAR,"workspace.actions[action=""action_26810""].steps[step=""step_429""].condition.and[1].eq[1].scalar","""yes"""
65750217-79b5-4484-a0df-04234c719553,ACTION_STEP_CONDITION_SCALAR,"workspace.actions[action=""action_26810""].steps[step=""step_429""].condition.and[2].eq[1].scalar","""yes"""
dfb2dbfd-b53e-49da-b25c-630334aca8c2,ACTION_STEP_CONDITION_SCALAR,"workspace.actions[action=""action_26810""].steps[step=""step_429""].condition.and[3].eq[1].scalar","""yes"""
de449c23-77b2-4f85-b5d5-01609bca8b1d,ACTION_STEP_CONDITION_SCALAR,"workspace.actions[action=""action_26810""].steps[step=""step_429""].condition.and[4].eq[1].scalar","""yes"""
bdeeef7d-4896-4413-9b86-eb15d82b3ec5,ACTION_STEP_CONDITION_SCALAR,"workspace.actions[action=""action_26810""].steps[step=""step_429""].condition.and[5].eq[1].scalar","""yes"""
9321a3b6-64db-4fd7-b100-663c5275ea4b,ACTION_STEP_CONDITION_SCALAR,"workspace.actions[action=""action_26810""].steps[step=""step_429""].condition.and[6].eq[1].scalar","""yes"""
da9c52e3-1451-463b-bd70-470172fdb756,ACTION_STEP_OUTPUT_GENERIC_VALUES_TEXT_EXPRESSION,"workspace.actions[action=""action_26810""].steps[step=""step_769""].output.generic[0].values[0].text_expression","""Talvez você esteja passando por um momento desafiador, mas não se preocupe, é mais normal do que você imagina, e que bom que veio nos procurar. Clicando [aqui](https://www.link.com.br) você pode escolher uma pessoa que certamente vai poder tirar todas as suas dúvidas. Conte com a gente!"""
c2188b84-0ee7-497c-85ed-8269d3da1e61,ACTION_TITLE,"workspace.actions[action=""action_26810""].title","""Eu preciso de ajuda"""
0a3353f4-9393-4e88-b327-ea5c06821f22,SYS_SETTINGS_TOPIC_SWITCH_MSGS_CONFIRMATION_FAILURE_GENERIC_VALUES_TEXT_EXPRESSION,workspace.system_settings.topic_switch.messages.confirmation_failure.generic[0].values[0].text_expression.concat,"""Desculpe, não entendi, confirme, por favor."""
8dd671d3-dd18-49b4-8d5c-0d0110800550,SYS_SETTINGS_TOPIC_SWITCH_MSGS_CONFIRMATION_REQUEST_GENERIC_VALUES_TEXT_EXPRESSION,workspace.system_settings.topic_switch.messages.confirmation_request.generic[0].values[0].text_expression.concat,"""Deseja continuar com o tópico anterior: ${sys_var(digressed_from)}?"""
d5fed893-741a-40a7-8474-b45839eb6507,SYS_SETTINGS_TOPIC_SWITCH_MSGS_CONFIRMATION_REQUEST_GENERIC_OPTIONS_LABEL,workspace.system_settings.topic_switch.messages.confirmation_request.generic[1].options[0].label,"""Sim"""
fb286786-80f4-4efa-8ddf-00ea2f2cc230,SYS_SETTINGS_TOPIC_SWITCH_MSGS_CONFIRMATION_REQUEST_GENERIC_OPTIONS_LABEL,workspace.system_settings.topic_switch.messages.confirmation_request.generic[1].options[1].label,"""Não"""
b28580e0-3a76-4b85-9d25-da7a9a77cf3d,SYS_SETTINGS_DISAMBIGUATION_NONE_OF_ABOVE_PROMPT,workspace.system_settings.disambiguation.none_of_the_above_prompt,"""Nenhum dos itens acima"""
9d4cee44-22aa-4e3d-b68e-edd7de72e536,SYS_SETTINGS_DISAMBIGUATION_PROMPT,workspace.system_settings.disambiguation.prompt,"""Você quis dizer:"""
09790fdf-f717-4e33-84e6-99df4f10985b,SYS_SETTINGS_DISAMBIGUATION_SINGLE_ANSWER_CLARIFICATION_PROMPT,workspace.system_settings.disambiguation.single_answer_clarification_prompt,"""Outra coisa"""